Property_ID,City,City_Tier,Property_Type,Total_Rooms,Base_Price,Month,Month_Num,Occupancy_Rate,Rooms_Sold,Dynamic_Price,Revenue,RevPAR,Customer_Rating,Cancellation_Rate
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,January,1,98.0,13,3162.0,41111.0,3162.0,3.8,12.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,February,2,95.3,12,3412.0,40944.0,3150.0,3.8,10.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,March,3,96.2,13,2919.0,37948.0,2919.0,3.7,15.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,April,4,67.0,9,2595.0,23354.0,1796.0,4.0,25.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,May,5,59.7,8,2512.0,20099.0,1546.0,4.2,10.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,June,6,60.8,8,2195.0,17562.0,1351.0,4.3,6.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,July,7,63.3,8,2158.0,17267.0,1328.0,4.6,11.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,August,8,69.7,9,2309.0,20780.0,1598.0,3.6,18.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,September,9,74.7,10,2661.0,26607.0,2047.0,4.3,18.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,October,10,98.0,13,3403.0,44244.0,3403.0,4.6,18.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,November,11,98.0,13,3548.0,46127.0,3548.0,4.0,20.0
OYO1001,Mumbai,1,OYO Rooms,13,2927.0,December,12,98.0,13,3563.0,46317.0,3563.0,4.3,9.0
OYO1002,Mumbai,1,OYO Townhouse,38,2174.0,January,1,90.4,34,2587.0,87966.0,2315.0,4.7,16.0
OYO1002,Mumbai,1,OYO Townhouse,38,2174.0,February,2,98.0,37,2649.0,98004.0,2579.0,3.5,21.0
OYO1002,Mumbai,1,OYO Townhouse,38,2174.0,March,3,88.9,34,2515.0,85499.0,2250.0,4.3,12.0
OYO1002,Mumbai,1,OYO Townhouse,38,2174.0,April,4,64.6,25,2108.0,52699.0,1387.0,3.3,24.0
OYO1002,Mumbai,1,OYO Townhouse,38,2174.0,May,5,71.0,27,1763.0,47592.0,1252.0,4.8,24.0
OYO1002,Mumbai,1,OYO Townhouse,38,2174.0,June,6,65.6,25,1509.0,37719.0,993.0,4.4,5.0
